Ca-Ogg Vorbis-article.ogg	Gravació de l'article Ogg Vorbis de la Viquipèdia en català.	PD-self
La Represa - Ràdio Godella - 01-07-2016.ogg	Entrevista amb Joan Josep Senent i Moreno.	CC-BY-SA 4.0
Manolo Mata - voice.ogg	Audio-presentació de Manolo Mata.	CC-BY-SA 4.0
La Represa - Ràdio Godella - 10-06-2016.ogg	Entrevista amb Manolo Mata.	CC-BY-SA 4.0
La Represa - Ràdio Godella - 17-06-2016.ogg	Entrevista amb Carlos Villodres	CC-BY-SA 4.0
La Represa - Ràdio Godella - 24-06-2016.ogg	Entrevista amb Yuri Aguilar.	CC-BY-SA 4.0
La Represa - Ràdio Godella - 03-06-2016.ogg	Entrevista a Josep Puchades	CC-BY-SA 4.0
La Represa - Ràdio Godella - 27-05-2016.ogg	Entrevista a Àgueda Micó	CC-BY-SA 4.0
Vicent Flor - voice.ogg	Mostra de veu de Vicent Flor i Moreno	CC-BY-SA 4.0
Son Goku - catalan (valencian dubbing) voice.ogg	Mostra de veu de Mari Carme Giner interpretant la veu de Son Goku (xiquet) a Bola de Drac, una de les sèries de televisió que va doblar.	CC-BY-SA 4.0
Voice - ca - Geni Tortuga (Francesc Fenollosa).ogg	Mostra de veu de Francesc Fenollosa fent de Geni Tortuga, un dels personatges que ha doblat	CC-BY-SA 4.0
Voice - ca - Rafa Contreras (Woody Allen, Annie Hall).ogg	L'actor de doblatge Rafa Contreras actuant com Woody Allen a la pel·lícula Annie Hall	CC-BY-SA 4.0
Toni de l'Hostal parla de La Cabota.ogg	Toni de l'Hostal parla sobre la publicació satírica "La Cabota"	cc-by-sa-4.0
El paller.ogg	Versió sonora interpretada per Òscar Rocabert.	cc-by-sa-4.0
Els poetes.ogg	Versió sonora interpretada per Òscar Rocabert.	cc-by-sa-4.0
07 La rima.ogg	Versió sonora interpretada per Rosa Baró.	cc-by-sa-4.0
65 La nit al mas.ogg	Versió sonora interpretada per Rosa Baró	cc-by-sa-4.0
17 Tarda d'abril.ogg	Versió sonora interpretada per Rosa Baró.	cc-by-sa-4.0
41 El rierol.ogg	Versió sonora interpretada per Rosa Baró.	cc-by-sa-4.0
21 Quin esclat de colors.ogg	Versió sonora interpretada per Rosa Baró.	cc-by-sa-4.0
26 Com un núvol.ogg	Versió sonora interpretada per Rosa Baró.	cc-by-sa-4.0
52 El repòs.ogg	Versió sonora interpretada per Rosa Baró.	cc-by-sa-4.0
61 Tarda de maig al camp.ogg	Versió sonora interpretada per Rosa Baró.	cc-by-sa-4.0
25 4 camins.ogg	Versió sonora interpretada per Margarida Gubern.	cc-by-sa-4.0
58 El predi.ogg	Versió sonora interpretada per Margarida Gubern.	cc-by-sa-4.0
4 Inspiració.ogg	Versió sonora interpretada per Margarida Gubern.	cc-by-sa-4.0
34 El mar enllà.ogg	Versió sonora interpretada per Margarida Gubern.	cc-by-sa-4.0
44 Els gorgs.ogg	Versió sonora d'un poema de Joan Arús interpretada per Margarida Gubern.	cc-by-sa-4.0
53 Riu.ogg	Versió sonora d'un poema de Joan Arús interpretada per Margarida Gubern.	cc-by-sa-4.0
66 Oració.ogg	Versió sonora d'un poema de Joan Arús interpretada per Margarida Gubern.	cc-by-sa-4.0
62 La llar.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
08 Els versos.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
14 Núvol rosa.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
55 La verneda.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
45 Jo sóc talment.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
16 Ai la paraula.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
63 Aquella mà.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
05 La paraula.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
19 Absències.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
22 La font.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
42 Torrent florit.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
35 El te de roca.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
59 El meu pi.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
06 Ritme.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
