Ca-Ogg Vorbis-article.ogg	Gravació de l'article Ogg Vorbis de la Viquipèdia en català.	PD-self
Marc Rosich (veu).ogg	Mostra de veu de Marc Rosich.	cc-zero
Ferran Llagostera Coll (veu).ogg	Mostra de veu de Ferran Llagostera i Coll.	cc-zero
Blanca Bardagil (veu).ogg	Mostra de veu de Blanca Bardagil Mas.	cc-zero
Sergi Cervera (veu).ogg	Mostra de veu de Sergi Cervera.	cc-zero
Carla Simón (veu).ogg	Mostra de veu de Carla Simón.	cc-zero
Carlos Latre (veu).ogg	Mostra de veu de Carlos Latre Ruiz.	cc-zero
Borja Penalba (veu).ogg	Mostra de veu de Borja Penalba Català.	cc-zero
Albert Elfa Canut (veu).ogg	Mostra de veu d'Albert Elfa Canut.	cc-zero
Miquel Duran Portas (veu).ogg	Mostra de veu de Miquel Duran Portas.	cc-zero
Les bambuneres.mp3	Cançó dedicada a les treballadores de les Papeleras Reunidas.	cc-by-sa-4.0
Alguer Miquel (veu).ogg	Mostra de veu d'Alguer Miquel i Bo.	cc-zero
Nerea Sanfe - voice - ca.mp3	Voice Intro Project de Nerea Sanfe amb data corregida	cc-by-sa-4.0
SuenaWiki Podcast E5-T4.mp3	Cinqué episodi de la quarta temporada de SuenaWiki.	cc-by-sa-4.0
SuenaWiki Podcast E6-T4.mp3	Sisé episodi de la quarta temporada de SuenaWiki.	cc-by-sa-4.0
SuenaWiki Podcast E4-T4.mp3	Quart episodi de la quarta temporada de SuenaWiki.	cc-by-sa-4.0
Joan Sanchis - voice.mp3	Voice Intro de Joan Sanchis	cc-by-sa-4.0
Enric Navarro - voice.mp3	Voice Intro d'Enric Navarro	cc-by-sa-4.0
Roger Olmos (veu).ogg	Mostra de veu de Roger Olmos.	cc-zero
Pau Vallvé (veu).ogg	Mostra de veu de Pau Vallvé.	cc-zero
Albert Bosch (veu).ogg	Mostra de veu d'Albert Bosch.	cc-zero
Raül Garrigasait i Colomés (veu).ogg	Mostra de veu de Raül Garrigasait i Colomés.	cc-zero
Rosa Font (veu).ogg	Mostra de veu de Rosa Font.	cc-zero
Isabel Banal (veu).ogg	Mostra de veu d'Isabel Banal.	cc-zero
Alícia Puertas (veu).ogg	Mostra de veu d'Alícia Puertas.	cc-zero
Raimon Ávila (veu).ogg	Mostra de veu de Raimon Ávila.	cc-zero
Enric Nolla (veu).ogg	Mostra de veu d'Enric Nolla.	cc-zero
Gerard Furest i Dalmau (veu).ogg	Tall de veu de Gerard Furest i Dalmau, mestre de secundària i sindicalista català	cc-zero
Immaculada Cerdà - voice.mp3	Voice intro d'Immaculada Cerdà	cc-by-sa-4.0
Paloma Chen - voice.mp3	Voice Intro project de Paloma Chen	cc-by-sa-4.0
La Represa - Ràdio Godella - 3-06-2022.mp3	Entrevista amb Paloma Chen	cc-by-sa-4.0
Jaume C. Pons Alorda (veu).ogg	Mostra de veu de Jaume Cristòfol Pons Alorda.	cc-zero
David Castillo Buïls (veu).ogg	Mostra de veu de David Castillo Buïls.	cc-zero
Anna Gas (veu).ogg	Mostra de veu d'Anna Gas Serra.	cc-zero
Josep Moliner Pedrós (veu).ogg	Mostra de veu de Josep Moliner i Pedrós.	cc-zero
Claudia Vega (veu).ogg	Mostra de veu de Claudia Vega.	cc-zero
Marc Egea (veu).ogg	Mostra de veu de Marc Egea.	cc-zero
Jordi Sugranyes (veu).ogg	Mostra de veu de Jordi Sugranyes.	cc-zero
Mireia Tejero (veu).ogg	Mostra de veu de Mireia Tejero.	cc-zero
Àngels Gregori (veu).ogg	Mostra de veu d'Àngels Gregori.	cc-zero
SuenaWiki Podcast E7-T4.mp3	Seté episodi de la quarta temporada de SuenaWiki.	cc-by-sa-4.0
Manel Barceló (veu).ogg	Mostra de veu de Manel Barceló.	cc-zero
Àngels Moreno (veu).ogg	Mostra de veu d'Àngels Moreno.	cc-zero
Marcel·lí Antúnez Roca (veu).ogg	Veu de Marcel·lí Antúnez Roca.	cc-zero
Ferran Suay (veu).ogg	Mostra de veu de Ferran Suay.	cc-zero
SuenaWiki Podcast E9-T4.mp3	Nové episodi de la quarta temporada de SuenaWiki.	cc-by-sa-4.0
SuenaWiki Podcast E8-T4.mp3	Huité episodi de la quarta temporada de SuenaWiki.	cc-by-sa-4.0
Francesc Garrido (veu).ogg	Mostra de veu de Francesc Garrido.	cc-zero
Eduard Escoffet (veu).ogg	Mostra de veu d'Eduard Escoffet.	cc-zero
Mariola Dinarès (veu).ogg	Mostra de veu de Mariola Dinarès.	cc-zero
Gerard Pastor (veu).ogg	Mostra de veu de Gerard Pastor.	cc-zero
Xavier Batllés (veu).ogg	Mostra de veu de Xavier Batllés.	cc-zero
Miquel Pujadó (veu).ogg	Mostra de veu de MIquel Pujadó.	cc-zero
Rosa Maria Poch Claret (veu).ogg	Tall de veu de presentació de l'enginyera agrònoma i edafòloga catalana Rosa Maria Poch Claret, enregistrat al 22è Congrés de Ciències del Sòl, celebrat a Glasgow (Escòcia) l'agost del 2022.	cc-zero
Lu Rois (veu).ogg	Mostra de veu de Lu Rois.	cc-zero
Dansa dels Cavallets - El Corpus.mp3	Reproducció de la música del Corpus realitzada al Centre de la Beneficiència en motiu de l'exposició de l'Etno.	cc-by-sa-4.0
Dansa dels Turcs - El Corpus.mp3	Reproducció de la música del Corpus realitzada al Centre de la Beneficiència en motiu de l'exposició de l'Etno.	cc-by-sa-4.0
Dansa dels arquets - El Corpus.mp3	Reproducció de la música del Corpus realitzada al Centre de la Beneficiència en motiu de l'exposició de l'Etno.	cc-by-sa-4.0
Dansa dels Nanos - El Corpus.mp3	Reproducció de la música del Corpus realitzada al Centre de la Beneficiència en motiu de l'exposició de l'Etno.	cc-by-sa-4.0
Dansa de les Vetes - El Corpus.mp3	Reproducció de la música del Corpus realitzada al Centre de la Beneficiència en motiu de l'exposició de l'Etno.	cc-by-sa-4.0
Dansa dels Gegants - El Corpus.mp3	Reproducció de la música del Corpus realitzada al Centre de la Beneficiència en motiu de l'exposició de l'Etno.	cc-by-sa-4.0
La degolla - El Corpus.mp3	Reproducció de la música del Corpus realitzada al Centre de la Beneficiència en motiu de l'exposició de l'Etno.	cc-by-sa-4.0
La Moma - El Corpus.mp3	Reproducció de la música del Corpus realitzada al Centre de la Beneficiència en motiu de l'exposició de l'Etno.	cc-by-sa-4.0
Dansa de la Magrana - Corpus de València.mp3	Reproducció de la música del Corpus realitzada al Centre de la Beneficiència en motiu de l'exposició de l'Etno.	cc-by-sa-4.0
Pastorets - El Corpus.mp3	Reproducció de la música del Corpus realitzada al Centre de la Beneficiència en motiu de l'exposició de l'Etno.	cc-by-sa-4.0
Dansa dels Llauradors - Corpus de València.mp3	Reproducció de la música del Corpus realitzada al Centre de la Beneficiència en motiu de l'exposició de l'Etno.	cc-by-sa-4.0
Jordi Manent (veu).ogg	Mostra de veu de Jordi Manent.	cc-zero
Laura Pérez - Voice.mp3	Voice Intro project de Laura Pérez Granel, realitzada a les Jornades de còmic de València	cc-by-sa-4.0
Ferran Burguillos (veu).ogg	Mostra de veu de Ferran Burguillos.	cc-zero
La Nigérienne.ogg	La Nigérienne	cc-zero
Andrés Corchero (veu).ogg	Mostra de veu d'Andrés Corchero.	cc-zero
Viquipèdia bola 3D - Mapa Ballester - Queta (animació).ogg	Animació d'una Queta, figureta molt associada a l'ús del català a principis del segle XXI, a través d'un exemplar reeditat del Mapa Ballester dels Països Catalans (obra de Joan Ballester i Canals l'any 1932). De fons, una Viquibola de la Viquipèdia impresa en 3D, farcida de plantes.	cc-by-sa-4.0
La Represa - Ràdio Godella - 7-10-2022.mp3	Entrevista al músic Alfons Pérez Daràs, el Blüe	cc-by-sa-4.0
SuenaWiki Podcast E1T5.mp3	Primer episodi de la cinquena temporada de SuenaWiki.	cc-by-sa-4.0
Voice - Kaltrina Krasniqi.mp3	Voice Intro project de Kaltrina Krasniqi	cc-by-sa-4.0
Voice - Kaltrina Krasniqi - clean.mp3	Voice Intro project de Kaltrina Krasniqi	cc-by-sa-4.0
Cláudia Varejão - Lobo e Cão.mp3	Cláudia Varejão parla sobre la pel·lícula Lobo e Cão	cc-by-sa-4.0
Voice - Erige Sehiri - fr.mp3	Voice Intro project d'Erige Sehiri  en francès	cc-by-sa-4.0
Voice - Erige Sehiri - ar.mp3	Voice Intro project d'Erige Sehiri en àrab	cc-by-sa-4.0
Voice Ali Asgari - en.mp3	Ali Asgari a la Mostra de València - 1	cc-by-sa-4.0
Voice Ali Asgari - fa.mp3	Ali Asgari a la Mostra de València	cc-by-sa-4.0
Gina Tost (veu).ogg	Mostra de veu de Gina Tost.	cc-zero
Voice - Alfons Pérez.mp3	Voice Intro Project d'Alfons Pérez	cc-by-sa-4.0
Voice - Charly Efe.mp3	Voice Intro Project - Charly Efe	cc-by-sa-4.0
Ali Asgari - roda de premsa.mp3	Ali Asgari, a la roda de premsa de la Mostra de València, parlant sobre la pel·lícula Ta Farda.	cc-by-sa-4.0
Ali Asgari - Ta Farda - Actresses.mp3	Ali Asgari, a la roda de premsa de la Mostra de València, parlant sobre el procés de trobar actors per a la pel·lícula Ta Farda.	cc-by-sa-4.0
Voice - Teko.mp3	Voice Intro Project - Teko	cc-by-sa-4.0
Manel Vizcaíno (veu).ogg	Mostra de veu de Manel Vizcaíno.	cc-zero
Joan Deusa (veu).ogg	Mostra de veu de Joan Deusa.	cc-zero
Marc Monzó (veu).ogg	Mostra de veu de Marc Monzó.	cc-zero
Joan Sala i Torrent (veu).ogg	Mostra de veu de Joan Sala i Torrent.	cc-zero
Blanca Llum Vidal (veu).ogg	Mostra de veu de Blanca Llum Vidal.	cc-zero
Anna Navarro Descals (veu).ogg	Mostra de veu d'Anna Navarro Descals.	cc-zero
Jordi Martí Font (veu).ogg	Mostra de veu Jordi Martí Font.	cc-zero
Andreu González Castro (veu).ogg	Mostra de veu d'Andreu González Castro.	cc-zero
Josep Pedrals (veu).ogg	Mostra de veu de Josep Pedrals.	cc-zero
Xiva de Morella - Virolai.mp3	Virolai, en versió cantada als Ports de Morella.	cc-by-sa-4.0
Maria Josep Escrivà (veu).ogg	Mostra de veu de Maria Josep Escrivà.	cc-zero
Jordi Núñez - El que sabem.mp3	El director de la pel·lícula en parla	cc-by-sa-4.0
Figa Flawas - veu.ogg	Tall de veu dels integrants del grup musical en català Figa Flawas, enregistrat el novembre del 2022	cc-zero
ToniCruanyesPlana.ogg	Mostra de veu de n'Antoni Cruanyes i Plana.	cc-0
Àngels Marzo (veu).ogg	Mostra de veu d'Àngels Marzo.	cc-zero
TomaMolinaBosch.ogg	Mostra de veu d'en Tomàs Molina i Bosch.	cc-0
Cesc Cornet (veu).ogg	Mostra de veu de Cesc Cornet.	cc-zero
Clara Che - voice.mp3	Voice Intro Project de Clara Che	cc-by-sa-4.0
Clara Che - voice - edited.mp3	Voice Intro Project de Clara Che	cc-by-sa-4.0
RogerPera(veu).ogg	Mostra de veu d'en Roger Pera (inclou uns segons finals fent d'Spiderman en català i castellà).	cc-0
LluísCanutPermanyer(veu).ogg	Mostra de veu d'en Lluís Canut Permanyer.	cc-0
EsteveSolerGranel(veu).ogg	Mostra de veu del periodista català Esteve Soler Granel.	cc-0
JoseCorbachoNieto(veu).ogg	Mostra de veu d'en Jose Corbacho Nieto.	cc-0
Carme Manuel - voice.mp3	Voice Intro Project de Carme Manuel	cc-by-sa-4.0
Txe Arana (veu).ogg	Mostra de veu de Txe Arana.	cc-zero
LídiaHeredia(veu).ogg	Mostra de veu de la periodista Lídia Heredia.	cc-0
DavidVerdaguerRuiz(veu).ogg	Mostra de veu de l'actor català David Verdaguer Ruiz.	cc-0
JoanPeraSegura(veu).ogg	Mostra de veu de l'actor Joan Pera Segura.	cc-0
Carol Rodríguez i Colás (veu).ogg	Enregistrament de veu de Carol Rodríguez i Colás l'any 2022.	cc-zero
XaviCoralTrullàs(veu).ogg	Mostra de veu del periodista català Xavi Coral Trullàs.	cc-0
Гимн Республики Алтай (2001).ogg	Гимн Республики Алтай (2001)	cc-by-sa-4.0
MartaRomagosa(veu).ogg	Mostra de veu de la periodista i escriptora Marta Romagosa.	cc-0
ToniClapésCasals(veu).ogg	Mostra de veu del radiofonista Toni Clapés Casals.	cc-0
QuimMoralesPrat(veu).ogg	Mostra de veu del radiofonista Quim Morales Prat.	cc-zero
Xavier Duran i Escriba (veu).ogg	Enregistrament de veu del 2022 del químic, periodista científic, escriptor i divulgador català Xavier Duran i Escriba (Barcelona, 1959).	cc-zero
Lucile Hadžihalilović - voice.mp3	Voice Intro project de Lucile Hadžihalilović, enregistrat a la Plaça de l'Ajuntament de València durant la Mostra 2023	cc-by-sa-4.0
Àlex Hinojo (veu).ogg	Mostra de veu d'Àlex Hinojo.	cc-zero
FrancescMauriDomènech(veu).ogg	Mostra de veu del meteoròleg de la CCMA, Francesc-Marc Mauri i Domènech.	cc-zero
NúriaSoléPérez(veu).ogg	Mostra de veu de la periodista Núria Solé Pérez.	cc-zero
MariPauHuguetSubias(veu).ogg	Mostra de veu de la presentadora de televisió catalana Mari Pau Huguet.	cc-zero
JoelDíazBraña(veu).ogg	Mostra de veu del comunicador i humorista català Joel Díaz.	cc-zero
Albert Velasco i Gonzàlez (veu).ogg	Enregistrament de veu de l'historiador de l'art, comissari i professor català Albert Velasco i Gonzàlez (n. Lleida, 1976)	cc-zero
SuenaWiki T5-E4.mp3	Quart episodi de la cinquena temporada de SuenaWiki	cc-by-sa-4.0
MiquelPucurullFontova(veu).ogg	Mostra de veu del corredor Miquel Pucurull Fontova "Pucu".	cc-zero
RamonPeris-March(veu).ogg	Mostra de veu de l'actor català Ramon Peris-March. En Petri durant els 10 primers anys (1991-2001) del primer Club Super3.	cc-zero
IreneRigauOliver(veu).ogg	Mostra de veu de la psicòloga i política catalana Irene Rigau i Oliver.	cc-zero
AriadnaOltraMartí(veu).ogg	Mostra de veu de la periodista catalan Ariadna Oltra i Martí.	cc-zero
MontserratTuraCamafreita(veu).ogg	Mostra de veu de la metgessa, política i assagista catalana Montserrat Tura i Camafreita.	cc-zero
ImmaPedemonteSarañana(veu).ogg	Mostra de veu la periodista esportiva catalana Imma Pedemonte i Sarañana.	cc-zero
ToniSolerGuasch(veu).ogg	Mostra de veu del periodista català Toni Soler i Guasch.	cc-zero
TomeuPenya(veu).ogg	Mostra de veu del cantautor mallorquí Tomeu Penya.	cc-zero
Maria Nicolau i Rocabayera (veu).ogg	Enregistrament de veu de la cuinera i col·laboradora televisiva catalana Maria Nicolau i Rocabayera (la Garriga, 1982) l'any 2023.	cc-zero
ArturPegueraAnoro(veu).ogg	Mostra de veu del periodista català Artur Peguera Anoro.	cc-zero
ÒscarAndreuFernández(veu).ogg	Mostra de veu de n'Òscar Andreu i Fernández.	cc-zero
Miguelanxo Prado - voice.mp3	Veu de Miguelanxo Prado, a un acte a La Nau de València	cc-by-sa-4.0
Miguelanxo Prado - voice (edit).mp3	Veu de Miguelanxo Prado, a un acte a La Nau de València	cc-by-sa-4.0
EduardBoetDomènech(veu).ogg	Mostra de veu del periodista català Eduard Boet i Domènech.	cc-zero
PereRafartArza(veu).ogg	Mostra de veu de l'il·lusionista Pere Rafart Arza.	cc-zero
RamonPellicerColillas(veu).ogg	Mostra de veu del periodista Ramon Pellicer Colillas.	cc-zero
ArcadiAlibésRiera(veu).ogg	Mostra de veu del periodista esportiu Arcadi Alibés Riera.	cc-zero
JuditMartinDulcet(veu).ogg	Mostra de veu de la comedianta Judit Martin Dulcet.	cc-zero
SuenaWiki Podcast - T5E6.mp3	Sexto episodio de la quinta temporada de SuenaWiki.	cc-by-sa-4.0
SuenaWiki Podcast - T5E5.mp3	Quinto episodio de la quinta temporada de SuenaWiki.	cc-by-sa-4.0
AntoniBassasOnieva(veu).ogg	Mostra de veu del periodista Antoni Bassas i Onieva.	cc-zero
IsidreEstevePujol(veu).ogg	Mostra de veu del pilot d'automobilisme Isidre Pujol Esteve.	cc-zero
Ester Franquesa (veu).ogg	Mostra de veu d'Ester Franquesa.	cc-zero
MontseArmengouMartín(veu).ogg	Mostra de veu de la periodista catalana Montse Armengou i Martín.	cc-zero
SergiLópezAyats(veu).ogg	Mostra de veu de l'actor català Sergi López i Ayats.	cc-zero
RaquelSansDuran(veu).ogg	Mostra de veu de la periodista catalana Raquel Sans Duran.	cc-zero
NatzaFarréMaduell(veu).ogg	Mostra de veu de la periodista i comunicadora feminista catalana Natza Farré i Maduell.	cc-zero
MarcGiróCosta(veu).ogg	Mostra de veu de l'historiador de l'art i periodista català Marc Giró i Costa.	cc-zero
BielDuranPascual(veu).ogg	Mostra de veu de l'actor català Biel Duran i Pascual.	cc-zero
EmmaVilarasauTomàs(veu).ogg	Mostra de veu de l'actriu catalana Emma Vilarasau Tomàs.	cc-zero
ElenaGadel(veu).ogg	Mostra de veu la cantant i actriu catalana n'Elena Gadel.	cc-zero
Gessamí Boada (veu).ogg	Mostra de veu de Gessamí Boada.	cc-zero
Manuel Lillo i Usechi (veu).ogg	Mostra de veu de Manuel Lillo i Usechi.	cc-zero
FalinCáceresCano(veu).ogg	Mostra de veu del baixista d'Els Pets, Rafael (Falin) Cáceres i Cano	cc-zero
LluísGavaldàRoig(veu).ogg	Mostra de veu del cantant d'Els Pets, i músic, Lluís Gavaldà Roig.	cc-zero
Agustí Franch (veu).ogg	Mostra de veu d'Agustí Franch.	cc-zero
Albert Jané veu.ogg	Fragment de veu de l'escriptor, traductor i lingüista Albert Jané	cc-by-sa-4.0
MontseMirallesBrugués(veu).ogg	Mostra de veu de l'actriu i directora catalana Montse Miralles i Brugués.	cc-zero
Jofre Bardagí (veu).ogg	Mostra de veu de Jofre Bardagí.	cc-zero
FrancescXavierBonastreThió(veu).ogg	Mostra de veu del periodista esportiu català Francesc Xavier Bonastre Thió	cc-zero
XavierBoschSancho(veu).ogg	Mostra de veu del periodista Xavier Bosch i Sancho.	cc-zero
CarmeRuscalledaSerra(veu).ogg	Mostra de veu de la cuinera catalana Carme Ruscalleda i Serra.	cc-zero
Xavier Mas Craviotto (veu).ogg	Mostra de veu de Xavier Mas Craviotto.	cc-zero
FrancescPidelaSerraValero(veu).ogg	Mostra de veu del cantautor català Francesc Pi de la Serra i Valero.	cc-zero
Antoni Ros Marbà (veu).ogg	Mostra de veu d'Antoni Ros Marbà.	cc-zero
Maria José Català - voice.mp3	Voice Intro Project de María José Català Verdet	cc-by-sa-4.0
Maria José Català - voice corregit 01.mp3	Voice Intro Project de María José Català Verdet	cc-by-sa-4.0
Josep Rodríguez Ferrer (veu).ogg	Mostra de veu de Josep Rodríguez Ferrer.	cc-zero
EnricCalpenaOllé(veu).ogg	Mostra de veu del periodista, professor i historiador Enric Calpena i Ollé.	cc-zero
NilCardonerGratacós(veu).ogg	Mostra de veu de l'actor català Nil Cardoner i Gratacós.	cc-zero
Stage 4 Volta a Catalunya 2023, Guillaume Boivin leads out the sprint.ogg	Guillaume Boivin (Israel-Premier Tech) llança l'esprint per a Corbin Strong en la quarta etapa de la Volta a Catalunya 2023, a Sabadell.	cc-by-sa-4.0
Oriol Estrada Rangil (veu).ogg	Mostra de veu d'Oriol Estrada Rangil.	cc-zero
Xavier Serrat (veu).ogg	Mostra de veu de Xavier Serrat Crespo.	cc-zero
PuritoJoaquimRodríguezOliver(veu).ogg	Mostra de veu del ciclista  "Purito" Joaquim Rodríguez i Oliver.	cc-zero
JordiPuntíGarriga(veu).ogg	Mostra de veu de l'escriptor català Jordi Puntí i Garriga.	cc-zero
JoelJoanJuvé(veu).ogg	Mostra de veu de l'actor català Joel Joan i Juvé.	cc-zero
MàriusSerraRoig(veu).ogg	Mostra de veu de l'escriptor Màrius Serra i Roig.	cc-zero
Sergio Manzanera - voice - edited.mp3	Voice Intro project de Sergio Manzanera	cc-by-sa-4.0
Antón - voice - edited.mp3	Voice Intro project d'Antón Martínez Morales	cc-by-sa-4.0
Sergio Manzanera - voice.mp3	Voice Intro project de Sergio Manzanera	cc-by-sa-4.0
Antón - voice.mp3	Voice Intro project d'Antón Martínez Morales	cc-by-sa-4.0
Salvador Vergés i Tejero (veu).ogg	Mostra de veu de Salvador Vergés i Tejero.	cc-zero
CarmeJunyentFigueras(veu).ogg	Mostra de veu de la lingüista catalana Maria Carme Junyent i Figueras.	cc-zero
Anna-Costal-i-Fornells (veu).ogg	Mostra de veu d'Anna Costal i Fornells.	cc-zero
RogerEscapaFarrés(veu).ogg	Mostra de veu del periodista sabadellenc Roger Escapa Farrés.	cc-zero
ManelAlíasTort(veu).ogg	Mostra de veu del periodista català Manel Alías Tort.	cc-zero
ArturBlascoGiné(veu).ogg	Mostra de veu del músic, investigador i divulgador del folklore català Artur Blasco i Giné.	cc-zero
Júlia Bacardit (veu).ogg	Mostra de veu de Júlia Bacardit.	cc-zero
Martí Mora Julià, Sr Chen (veu).ogg	Mostra de veu de Martí Mora Julià.	cc-zero
AngelsGonyalons(veu).ogg	Mostra de veu de l'actriu Àngels Gonyalons.	cc-zero
AlexGorinaMacia(veu).ogg	Mostra de veu del crític de cinema i presentador català Àlex Gorina i Macià.	cc-zero
Lluís Roura Juanola (veu).ogg	Mostra de veu de Lluís Roura Juanola.	cc-zero
Oriol Carcolse Marinel·lo (veu).ogg	Mostra de veu d'Oriol Carcolse Marinel·lo (Nel·lo).	cc-zero
JoanFortunyGuarro(veu).ogg	Mostra de veu del músic català Joan Fortuny Guarro.	cc-zero
LluísFortunyGuarro(veu).ogg	Mostra de veu del músic català Lluís Fortuny i Guarro.	cc-zero
Phylloscopus bonelli.ogg	Cant del Mosquiter pàl·lid	cc-by-sa-4.0
Lo Catalanisme - Valentí Almirall - 0 - pròleg 01.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 02.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 03.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 04.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 05.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 06.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 07.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 08.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 09.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 10.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 11.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 12.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 13.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 14.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 15.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 16.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 17.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 18.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 19.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 20.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 21.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
Lo Catalanisme - Valentí Almirall - 0 - pròleg 22.ogg	Capítol del àudio llibre "Lo Catalanisme" de l'autor Valentí Almirall	cc-zero
PolGise(veu).ogg	Mostra de veu de l'actor i youtuber català Pol Gise.	cc-zero
Jordi Boixaderas veu.ogg	Fragment de veu del locutor, actor i rapsode Jordi Boixaderas	cc-by-sa-4.0
Roc Casagran veu.ogg	Fragment de veu de l'escriptor i professor Roc Casagran	cc-by-sa-4.0
AntonioBañosBoncompain(audio).ogg	Mostra de veu del periodista català Antonio Baños i Boncompain.	cc-zero
BernatSolerPla(veu).ogg	Mostra de veu del periodista esportiu Bernat Soler i Pla.	cc-zero
JuditMascóPalau(veu).ogg	Mostra de veu de la model i presentadora de televisió Judit Mascó i Palau.	cc-zero
Llorenç Balsach veu2023.ogg	Fragment de veu del compositor Llorenç Balsach i Peig	cc-by-sa-4.0
Jaume Garcia Arija (veu).ogg	Fragment de veu de l'actor Jaume Garcia Arija	cc-by-sa-4.0
EnricGomàRibas(veu).ogg	Mostra de veu del guionista, escriptor i divulgador lingüístic català Enric Gomà i Ribas.	cc-zero
MarinaRossellFigueras(veu).ogg	Mostra de veu de la cantant Marina Rossell i Figueras.	cc-zero
JaumeSisaMestres(veu).ogg	Mostra de veu del music i cantautor Jaume Sisa i Mestres.	cc-zero
Júlia Ojeda i Caba - veu.ogg	Veu de Júlia Ojeda i Caba, investigadora i crítica literària catalana, enregistrada el juny del 2023	cc-zero
MariaRodríguezSoto(veu).ogg	Mostra de veu de l'actriu Maria Rodríguez Soto.	cc-zero
MikiEsparbéGener(veu).ogg	Mostra de veu de l'actor Miki Esparbé Gener.	cc-zero
LauraRoselSolà(veu).ogg	Mostra de veu de la periodista Laura Rosel i Solà.	cc-zero
QuecoFrancescNovellClausells(veu).ogg	Mostra de veu del periodista, actor i humorista Francesc (Queco) Novell i Clausells.	cc-zero
BrunaCusíEchaniz(veu).ogg	Mostra de veu de l'actriu Bruna Cusí Echaniz.	cc-zero
Josep M. Pladevall (veu).ogg	Fragment de veu del compositor i professor de flauta de bec català Josep M. Pladevall i Fontanet	cc-by-sa-4.0
KílianSebriàMarsol(veu).ogg	Mostra de veu del periodista Kílian Sebrià i Marsol.	cc-zero
Jep Barceló (veu).ogg	Tall de veu de l'actor Jep Barceló	cc-by-sa-4.0
FrancescSolerLlagostera(veu).ogg	Mostra de veu del periodista i escriptor Francesc Soler i Llagostera.	cc-zero
VicentPartalMontesinos(veu).ogg	Mostra de veu del periodista Vicent Partal i Montesinos.	cc-zero
PepSalaBellavista(veu).ogg	Mostra de veu del músic Pep Sala i Bellavista.	cc-zero
JulianaCanetPedemonte(veu).ogg	Mostra de veu de la comunicadora Juliana Canet i Pedemonte.	cc-zero
RicardUstrellGarrido(veu).ogg	Mostra del periodista Ricard Ustrell i Garrido.	cc-zero
RafaeldeRibotTorroella.ogg	Mostra de veu del periodista Rafael de Ribot i Torroella.	cc-zero
DavidGuzman(veu).ogg	Mostra de veu del periodista David Guzman.	cc-zero
